Quantity,Alternate Names,Defining Document,Description,Item,Last edited by,Last edited time,SI Units,Symbol,Type
moment of inertia,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"tensor (ISO 80000-2) quantity representing rotational inertia of a rigid body relative to a fixed centre of rotation expressed by the tensor product:
$\boldsymbol L = \boldsymbol J \boldsymbol \omega$
where $\boldsymbol L$ is angular momentum
(ISO 80000-3) of the body relative to the reference point and $\boldsymbol \omega$ is its angular velocity
(ISO 80000-3)",4-7,Steven Jenkins,"August 20, 2026 12:06 AM",kilogram meter squared (https://app.notion.com/p/kilogram-meter-squared-3c0b24cf917a805fbd13c12ae3db3755?pvs=21),vector J (https://app.notion.com/p/vector-J-3c2b24cf917a80aeaa6ed9fa7fff42e3?pvs=21),Derived
speed,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),magnitude (ISO 80000-2) of the velocity (item 3.10.1),3-10.2,Steven Jenkins,"August 18, 2026 10:19 AM",metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21),Derived
potential energy,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"for conservative force $\boldsymbol F$, scalar additive quantity obeying condition $\boldsymbol F = - \nabla F$, if it exists",4-28.1,Steven Jenkins,"August 20, 2026 3:32 PM",joule (https://app.notion.com/p/joule-f298e61345d9421eb4738a34909bc972?pvs=21),"V (https://app.notion.com/p/V-3c0b24cf917a80799652da0a3fb7ab27?pvs=21), E_p (https://app.notion.com/p/E_p-3c2b24cf917a80d1a582c2dde4aabd1a?pvs=21)",Derived
kinetic energy,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),scalar (ISO 80000-2) quantity characterizing a moving body expressed by: $T = \frac{1}{2} m v^2$ where $m$ is mass (item 4-1) of the body and $v$ is its speed (ISO 80000-3),4-28.2,Steven Jenkins,"August 20, 2026 3:37 PM",joule (https://app.notion.com/p/joule-f298e61345d9421eb4738a34909bc972?pvs=21),"E (https://app.notion.com/p/E-3c2b24cf917a8091ae3ffc04b5bb74e0?pvs=21), E_k (https://app.notion.com/p/E_k-3c2b24cf917a8013a25af083e48cb37b?pvs=21)",Derived
mechanical energy,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),sum of kinetic energy $T$ (item 4-28.2) and potential energy $V$ (item 4-28.1): $E = T + V$,4-28.3,Steven Jenkins,"August 20, 2026 3:41 PM",joule (https://app.notion.com/p/joule-f298e61345d9421eb4738a34909bc972?pvs=21),"E (https://app.notion.com/p/E-3c2b24cf917a8091ae3ffc04b5bb74e0?pvs=21), W (https://app.notion.com/p/W-3c2b24cf917a80cf9571e731df31e51b?pvs=21)",Derived
shear stress,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),scalar (ISO 80000-2) quantity describing surface action of a force into a body equal to: $τ_{\mathrm s} = \frac{\mathrm d F_{\mathrm t}}{\mathrm d A}$ where $F_\mathrm t$ is the tangential component of force (item 4-9.1) and $A$ is the area (ISO 80000-3) of the surface element,4-16.2,Steven Jenkins,"August 20, 2026 10:49 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)","tau_s (https://app.notion.com/p/tau_s-3c2b24cf917a80018236f208c90b0982?pvs=21), tau (https://app.notion.com/p/tau-3c0b24cf917a804ebf33dc2d87685fba?pvs=21)",Derived
width,breadth (https://app.notion.com/p/breadth-3c0b24cf917a80e7845eecc6e5ebb81e?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),minimum length of a straight line segment between two parallel straight lines (in two dimensions) or planes (in three dimensions) that enclose a given geometrical shape,3-1.2,Steven Jenkins,"August 18, 2026 2:36 PM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"b (https://app.notion.com/p/b-3c0b24cf917a805b893fc2b57d0d256b?pvs=21), B (https://app.notion.com/p/B-3c0b24cf917a809aae9ced0a0509b1db?pvs=21)",Derived
height,"depth (https://app.notion.com/p/depth-3c0b24cf917a80e099fadc0f28ebfe3c?pvs=21), altitude (https://app.notion.com/p/altitude-3c0b24cf917a801597e9d2e93a3a2dba?pvs=21)",ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),minimum length of a straight line segment between a point and a reference line or reference surface,3-1.3,Steven Jenkins,"August 18, 2026 2:36 PM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"h (https://app.notion.com/p/h-3c0b24cf917a80c99615ef7d31193936?pvs=21), H (https://app.notion.com/p/H-3c0b24cf917a809ea6aedccb5a4f9861?pvs=21)",Derived
thickness,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"width (item 3-1.2)
",3-1.4,Steven Jenkins,"August 18, 2026 9:19 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"d (https://app.notion.com/p/d-3c0b24cf917a80eb832bf7a1d1ab7ac0?pvs=21), delta (https://app.notion.com/p/delta-3c0b24cf917a80adac59e85a8ac1b6f9?pvs=21)",Derived
diameter,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"width (item 3‑1.2) of a circle, cylinder or sphere",3-1.5,Steven Jenkins,"August 18, 2026 9:20 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),"d (https://app.notion.com/p/d-3c0b24cf917a80eb832bf7a1d1ab7ac0?pvs=21), D (https://app.notion.com/p/D-3c0b24cf917a80518cf4e4322917f8ab?pvs=21)",Derived
