Quantity,Alternate Names,Defining Document,Description,Item,Last edited by,Last edited time,SI Units,Symbol,Type
compressibility,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),negative relative change of volume $V$ (ISO 80000-3) of an object under pressure $p$ (item 4-14.1) expressed by: $\kappa = -\frac{1}{V}\frac{\mathrm d V}{\mathrm p}$,4-20,Steven Jenkins,"August 20, 2026 11:35 AM",one per pascal (https://app.notion.com/p/one-per-pascal-3c2b24cf917a804cadace529b8daefd7?pvs=21),kappa (https://app.notion.com/p/kappa-3c0b24cf917a8053b87ec9fe7a4d1ec9?pvs=21),Derived
second axial moment of area,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"geometrical characteristic of a shape of a body equal to: $I_{\mathrm a} = \iint_{\mathrm M} r_{\mathrm Q}^2 \mathrm d A$ where $M$ is the two-dimensional domain of the cross-section of a plane and considered body, $r_{\mathrm Q}$` is radial distance (ISO 80000-3) from a $\mathrm Q$-axis in the plane of the surface considered and $A$ is area (ISO 80000-3)",4-21.1,Steven Jenkins,"August 20, 2026 12:33 PM",metre to the fourth power (https://app.notion.com/p/metre-to-the-fourth-power-3c2b24cf917a80d3a639d53aa4997231?pvs=21),I_a (https://app.notion.com/p/I_a-3c2b24cf917a806082c8fc8e7eedb9a3?pvs=21),Derived
second polar moment of area,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"geometrical characteristic of a shape of a body equal to: $I_{\mathrm p} = \iint_{\mathrm M} r_{\mathrm Q}^2 \mathrm d A$ where $M$ is the two-dimensional domain of the cross-section of a plane and considered body, $r_{\mathrm Q}$` is radial distance (ISO 80000-3) from a $\mathrm Q$-axis in the plane of the surface considered and $A$ is area (ISO 80000-3)",4-21.2,Steven Jenkins,"August 20, 2026 12:54 PM",metre to the fourth power (https://app.notion.com/p/metre-to-the-fourth-power-3c2b24cf917a80d3a639d53aa4997231?pvs=21),I_p (https://app.notion.com/p/I_p-3c2b24cf917a80349d0beaddc4b3aaf6?pvs=21),Derived
section modulus,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"geometrical characteristic of a shape of a body equal to: $Z = \frac{I_{\mathrm a}}{r_{{\mathrm Q}, \mathrm{max}}}$ where $I_{\mathrm a}$ is the second axial moment of area (item 4-21.1) and $r_{{\mathrm Q},{\mathrm{max}}}$ is the maximum radial distance (ISO 80000-3) of any point in the surface considered from the $Q$-axis with respect to which $I_{\mathrm a}$ is defined",4-22,Steven Jenkins,"August 20, 2026 1:20 PM",metre cubed (https://app.notion.com/p/metre-cubed-3c0b24cf917a806d81d0cf2464f80b33?pvs=21),"Z (https://app.notion.com/p/Z-3c2b24cf917a80529e72ddcbe317ad3e?pvs=21), (W) (https://app.notion.com/p/W-3c2b24cf917a801aa7cec3ee61607f65?pvs=21)",Derived
static friction coefficient,"static friction factor (https://app.notion.com/p/static-friction-factor-3c2b24cf917a809398c3e1119162304e?pvs=21), coefficient of static friction (https://app.notion.com/p/coefficient-of-static-friction-3c2b24cf917a8087b551eedd4be80068?pvs=21)",ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),proportionality factor between the maximum magnitude of the tangential component $F_{\mathrm max}$ of the static friction force (item 4-9.3) and the magnitude of the normal component $N$ of the contact force (item 4-9.1) between two bodies at relative rest with respect to each other: $F_{\mathrm max} = \mu_{\mathrm s} N$,4-23.1,Steven Jenkins,"August 20, 2026 11:02 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),"mu_s (https://app.notion.com/p/mu_s-3c2b24cf917a80e5a904e20b1fbc21e1?pvs=21), (f_s) (https://app.notion.com/p/f_s-3c2b24cf917a802f91e4c0f9fb521631?pvs=21)",Derived
kinetic friction factor,dynamic friction factor (https://app.notion.com/p/dynamic-friction-factor-3c2b24cf917a80ccaeecc51bc40729b8?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"proportionality factor between the magnitudes of the kinetic friction force, $F_\mu$ (item 4-9.4) and the normal component $N$ of the contact force (item 4-9.1): $F_\mu = \mu N$",4-23.2,Steven Jenkins,"August 20, 2026 1:40 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),"mu (https://app.notion.com/p/mu-3c2b24cf917a8026988cd5dd7be2fc37?pvs=21), (f) (https://app.notion.com/p/f-3c2b24cf917a806d8bcae62bdd12a733?pvs=21)",Derived
rolling resistance factor,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),proportionality factor between the magnitude of the tangential component `F` and the magnitude of the normal component $N$ of the force applied to a body rolling on a surface at constant speed: $F = C_{\mathrm rr} N$,4-23.3,Steven Jenkins,"August 20, 2026 2:02 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),C_rr (https://app.notion.com/p/C_rr-3c2b24cf917a8070afeee1c11f4c7db8?pvs=21),Derived
drag coefficient,drag factor (https://app.notion.com/p/drag-factor-3c2b24cf917a8078a18cebe47c06765c?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"factor proportional to magnitude $F_{\mathrm D}$ of the drag force (item 4-9.6) of a body moving in a fluid, dependent on the shape and speed $v$ (ISO 80000-3) of a body: $F_{\mathrm D} = {1\over 2} C_{\mathrm D} \rho v^2 A$ where $\rho$ is mass density (item 4-2) of the fluid and $A$ is cross-section area (ISO 80000-3) of the body",4-23.4,Steven Jenkins,"August 20, 2026 2:45 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),c_D (https://app.notion.com/p/c_D-3c2b24cf917a803a96d1cf29dba9752a?pvs=21),Derived
dynamic viscosity,(viscosity) (https://app.notion.com/p/viscosity-3c2b24cf917a80829c8cdd900eb3de31?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"for laminar flows, proportionality constant between shear stress $\tau_{\mathrm{xz}}$ (item 4-16.2) in a fluid moving with a velocity $v_\mathrm x$ (ISO 80000-3) and gradient ${\mathrm d v_{\mathrm x}} / {\mathrm{dz}}$ perpendicular to the plane of shear: $\tau_{\mathrm{xz}} = \eta \frac{\mathrm d v_X}{\mathrm{dz}}$",4-24,Steven Jenkins,"August 20, 2026 2:45 PM",pascal second (https://app.notion.com/p/pascal-second-3c2b24cf917a809aabaaee52c9ea015b?pvs=21),eta (https://app.notion.com/p/eta-3c0b24cf917a80b98fadf7d23a8cd10b?pvs=21),Derived
kinematic viscosity,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of dynamic viscosity $\eta$ (item 4-24) and mass density $\rho$ (item 4-2) of a fluid: $v = \frac{\eta}{\rho}$,4-25,Steven Jenkins,"August 20, 2026 3:06 PM",metre squared per second (https://app.notion.com/p/metre-squared-per-second-3c2b24cf917a807da52cd53552aac09a?pvs=21),v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21),Derived
surface tension,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),magnitude of a force acting against the enlargement of area portion of a surface separating a liquid from its surrounding,4-26,Steven Jenkins,"August 20, 2026 3:09 PM",newton per metre (https://app.notion.com/p/newton-per-metre-3c2b24cf917a80bab68dc3b8c67c7ca1?pvs=21),"gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21), sigma (https://app.notion.com/p/sigma-3c0b24cf917a80608574ea2fb9cb972c?pvs=21)",Derived
efficiency,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of output power $P_{\mathrm{out}}$ (item 4-27) from a system and input power $P_{\mathrm{in}}$ (item 4-27) to this system: $\eta = \frac{P_{\mathrm{out}}}{P_{\mathrm{in}}}$,4-29,Steven Jenkins,"August 21, 2026 12:04 AM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),eta (https://app.notion.com/p/eta-3c0b24cf917a80b98fadf7d23a8cd10b?pvs=21),Derived
mass flow,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),vector (ISO 80000-2) quantity characterizing a flowing fluid by the product of its local mass density $\rho$ (item 4-2) and local velocity $\boldsymbol v$ (ISO 80000-3): $\boldsymbol j_m = \rho \boldsymbol v$,4-30.1,Steven Jenkins,"August 20, 2026 4:13 PM",kilogram per square metre per second (https://app.notion.com/p/kilogram-per-square-metre-per-second-3c2b24cf917a80bbb5d2f6c61a6ed3bc?pvs=21),j_m (https://app.notion.com/p/j_m-3c2b24cf917a80f7aaf5c126150fd00c?pvs=21),Derived
mass flow rate,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"scalar (ISO 80000-2) quantity characterizing the total flow through the two-dimensional domain $\mathrm A$ with normal vector $\boldsymbol e_{\mathrm n}$ of a flowing fluid with mass flow $\boldsymbol j_{\mathrm m}$ (item 4-30.1) as an integral: $q_m = \iint_{\mathrm A} \boldsymbol j_m \cdot \boldsymbol e_{\mathrm n} \, \mathrm d A$ where $\mathrm d A$ is the area (ISO 80000-3) of an element of the two-dimensional domain $\mathrm A$",4-30.2,Steven Jenkins,"August 21, 2026 12:05 AM",kilogram per second (https://app.notion.com/p/kilogram-per-second-3c2b24cf917a8049ae9ac04bf5c49822?pvs=21),q_m (https://app.notion.com/p/q_m-3c2b24cf917a8060868fc271dfe03802?pvs=21),Derived
mass change rate,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),rate of increment of mass $m$ (item 4-1): $q_m = \frac{\mathrm d m}{\mathrm d t}$ where $\mathrm d m$ is the infinitesimal mass (item 4-1) increment and $\mathrm d t$ is the infinitesimal duration (ISO 80000-3),4-30.3,Steven Jenkins,"August 20, 2026 4:16 PM",kilogram per second (https://app.notion.com/p/kilogram-per-second-3c2b24cf917a8049ae9ac04bf5c49822?pvs=21),q_m (https://app.notion.com/p/q_m-3c2b24cf917a8060868fc271dfe03802?pvs=21),Derived
volume flow rate,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),scalar (ISO 80000-2) quantity characterizing the total flow through the two-dimensional domain $\mathrm A$ with the normal vector $\boldsymbol e_{\mathrm n}$ of a flowing fluid with velocity $\boldsymbol v$ (ISO 80000-3) as an integral: $q_v = \iint_{\mathrm A} \cdot \boldsymbol e_{\mathrm n} \cdot \mathrm d A$ where `dA` is the area (ISO 80000-3) of an element of the two-dimensional domain A,4-31,Steven Jenkins,"August 20, 2026 11:22 PM",cubic metre per second (https://app.notion.com/p/cubic-metre-per-second-3c3b24cf917a80309982f892c6ff645c?pvs=21),q_v (https://app.notion.com/p/q_v-3c3b24cf917a80be9f22c40923190682?pvs=21),Derived
action,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"time integral of energy $E$ over a time interval $(t_1, t_2)$: $S = \int_{t_1}^{t_2} E \, \mathrm dt$",4-32,Steven Jenkins,"August 20, 2026 11:27 PM",joule second (https://app.notion.com/p/joule-second-3c3b24cf917a8044ba1ce21d153211d1?pvs=21),S (https://app.notion.com/p/S-3c0b24cf917a80e6a616e5975fe3e900?pvs=21),Derived
