Name,LaTeX,📐 ISQ Quantities,Last edited by,Last edited time
eta,$\eta$,"rotational frequency (https://app.notion.com/p/rotational-frequency-3c0b24cf917a8048982eff8488ec9d9c?pvs=21), dynamic viscosity (https://app.notion.com/p/dynamic-viscosity-3c2b24cf917a808ebaa3cb06093be146?pvs=21), efficiency (https://app.notion.com/p/efficiency-3c2b24cf917a805a8952ce96d51624ad?pvs=21)",Steven Jenkins,"August 18, 2026 10:37 AM"
nu,$\nu$,frequency (https://app.notion.com/p/frequency-e5df97e5bc5e4bf5a508a7e2d2ae5411?pvs=21),Steven Jenkins,"August 18, 2026 10:37 AM"
f,$f$,frequency (https://app.notion.com/p/frequency-e5df97e5bc5e4bf5a508a7e2d2ae5411?pvs=21),Steven Jenkins,"August 18, 2026 10:37 AM"
omega,$\omega$,angular frequency (https://app.notion.com/p/angular-frequency-3c0b24cf917a802791a9c0e7f545a8e6?pvs=21),Steven Jenkins,"August 18, 2026 10:48 AM"
lambda,$\lambda$,wavelength (https://app.notion.com/p/wavelength-3c0b24cf917a800985adc6f1a9c69ed8?pvs=21),Steven Jenkins,"August 18, 2026 10:51 AM"
sigma,$\sigma$,"repetency (https://app.notion.com/p/repetency-3c0b24cf917a8019b12afd8eca0767c8?pvs=21), stress (https://app.notion.com/p/stress-3c2b24cf917a803bb8d2ef383ecd6e96?pvs=21), normal stress (https://app.notion.com/p/normal-stress-3c2b24cf917a80528976f3243f3e6297?pvs=21), surface tension (https://app.notion.com/p/surface-tension-3c2b24cf917a80459041fec2673f4779?pvs=21)",Steven Jenkins,"August 18, 2026 11:55 AM"
v bar,$\bar{v}$,repetency (https://app.notion.com/p/repetency-3c0b24cf917a8019b12afd8eca0767c8?pvs=21),Steven Jenkins,"August 18, 2026 11:54 AM"
vector k,${\boldsymbol k}$,wave vector (https://app.notion.com/p/wave-vector-3c0b24cf917a800296cfd473c1d5d772?pvs=21),Steven Jenkins,"August 18, 2026 11:59 AM"
k,$k$,angular repetency (https://app.notion.com/p/angular-repetency-3c0b24cf917a802882c0f90a754bf853?pvs=21),Steven Jenkins,"August 18, 2026 12:01 PM"
c,$c$,phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21),Steven Jenkins,"August 18, 2026 12:17 PM"
