Name,LaTeX,Last edited by,Last edited time,📐 ISQ Quantities
M_Q,$M_{\mathrm Q}$,Steven Jenkins,"August 20, 2026 8:42 AM",torque (https://app.notion.com/p/torque-3c2b24cf917a80e58d2ce38526bec133?pvs=21)
vector H,$\boldsymbol H$,Steven Jenkins,"August 20, 2026 9:41 AM",angular impulse (https://app.notion.com/p/angular-impulse-3c2b24cf917a80159294cf445a3cd8f8?pvs=21)
p,$p$,Steven Jenkins,"August 20, 2026 9:44 AM",pressure (https://app.notion.com/p/pressure-96c74225d7db4a7c8d549a9396a5669f?pvs=21)
p_e,$p_{\mathrm e}$,Steven Jenkins,"August 20, 2026 9:44 AM",gauge pressure (https://app.notion.com/p/gauge-pressure-3c2b24cf917a80469653f8a324c63978?pvs=21)
vector L,$\boldsymbol L$,Steven Jenkins,"August 20, 2026 9:45 AM",angular momentum (https://app.notion.com/p/angular-momentum-3c2b24cf917a801d975af13e75775632?pvs=21)
sigma_n,$\sigma_{\mathrm n}$,Steven Jenkins,"August 20, 2026 9:54 AM",normal stress (https://app.notion.com/p/normal-stress-3c2b24cf917a80528976f3243f3e6297?pvs=21)
tau_s,$\tau_{\mathrm s}$,Steven Jenkins,"August 20, 2026 10:04 AM",shear stress (https://app.notion.com/p/shear-stress-3c0b24cf917a80399594d148608fd42b?pvs=21)
vector epsilon,$\boldsymbol \epsilon$,Steven Jenkins,"August 20, 2026 10:09 AM",strain (https://app.notion.com/p/strain-3c2b24cf917a802b8149d65c0901be27?pvs=21)
epsilon,$\epsilon$,Steven Jenkins,"August 20, 2026 10:14 AM",relative linear strain (https://app.notion.com/p/relative-linear-strain-3c2b24cf917a8079a86ce8e7d79be32d?pvs=21)
(e),$(e)$,Steven Jenkins,"August 20, 2026 1:21 PM",relative linear strain (https://app.notion.com/p/relative-linear-strain-3c2b24cf917a8079a86ce8e7d79be32d?pvs=21)
E,$E$,Steven Jenkins,"August 20, 2026 11:14 AM","modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21), kinetic energy (https://app.notion.com/p/kinetic-energy-3c0b24cf917a80ebaeddd50a4a76da51?pvs=21), mechanical energy (https://app.notion.com/p/mechanical-energy-3c0b24cf917a80a9a58bd348c1741848?pvs=21)"
E_m,$E_{\mathrm m}$,Steven Jenkins,"August 20, 2026 11:14 AM",modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21)
Y,$Y$,Steven Jenkins,"August 20, 2026 11:15 AM",modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21)
K,$K$,Steven Jenkins,"August 20, 2026 11:23 AM",modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21)
